gene	associated	HiC	Density	numPeaks	concDMSO	concNutlin
ZBTB7B	1	1	2	3	12.28	12.69
MSI2	0	3	1	1	2.76	6.82
MEST	0	2	1	3	9.67	9.69
PCNP	0	2	1	2	7.52	7.25
DUSP14	0	1	1	1	10.6	10.54
DUSP11	0	1	2	2	8.7	8.96
SQSTM1	1	2	1	2	11.65	11.85
HS1BP3	0	2	1	2	-0.08	-0.15
RNFT1	0	1	1	1	9.56	9.31
PEX11B	0	1	1	1	11.55	11.58
C1S	0	1	2	2	10.16	9.92
TMEM167B	0	1	2	2	10.14	9.68
DHDDS	0	1	2	1	11.32	11.35
FAM198B	0	5	1	1	-0.08	-0.15
TIMP3	0	3	1	2	9.4	9.43
TIMP2	0	1	1	1	11.47	11.56
BOK	1	1	1	1	11.57	11.84
ATP9A	0	1	1	1	9.58	9.15
PI4K2A	0	1	1	3	10.01	9.94
DENND2C	0	2	1	2	-0.08	5.57
DENND2D	0	3	1	2	-0.08	-0.15
RABAC1	1	1	2	3	11.69	12.01
SUSD6	0	1	1	2	8.59	8.82
MICAL2	0	1	1	3	10.73	10.63
GPR107	0	1	1	2	10.76	10.92
RNASEL	0	2	1	2	-0.08	-0.15
TMF1	0	2	1	1	4.12	-0.15
AP1G1	0	1	1	1	9.22	9.26
TRAF3IP2-AS1	0	1	1	3	8.38	8.26
IP6K3	1	1	2	1	12.16	12.55
IP6K2	1	1	2	3	11.66	11.83
TRNP1	1	1	2	3	11.6	11.92
FBXL2	0	2	1	2	8.14	7.17
PKIA	0	2	1	1	-0.08	-0.15
NIPSNAP3A	0	2	1	1	-0.08	-0.15
DDX5	0	1	2	1	10.67	10.61
ZNF564	1	1	2	2	11.57	11.72
ZNF561	0	3	2	1	10.66	10.55
VDR	0	1	1	1	11.14	11.17
IKBIP	0	2	1	2	6.46	3.07
ZNF219	0	3	2	1	9.81	9.94
CCDC68	0	3	1	1	-0.08	6.15
NFKBIZ	0	2	1	1	5.67	6
CLTC	0	2	1	1	9.8	9.68
TMEM117	0	3	1	1	-0.08	-0.15
DACT1	0	2	1	1	7.49	6.84
STAT6	1	1	2	3	12.57	12.89
FAM118B	0	2	1	2	7.44	7.57
PGM3	0	2	1	1	-0.08	5.08
SLC26A2	0	2	1	3	11.06	10.91
FGF7	0	2	1	2	7.98	6.55
CYHR1	1	1	2	3	13.06	13.44
FGF2	0	1	1	3	7.03	6.61
FGF1	0	2	1	1	9.53	9.17
SLC25A46	0	5	1	1	-0.08	-0.15
SDC1	0	2	1	3	9.09	9.15
TNFAIP1	1	1	2	3	11.05	11.38
HTT	0	1	1	1	10.69	10.91
BEST1	1	1	2	3	11.69	11.97
NRBP2	1	1	2	3	12.8	13.25
NGF	0	3	1	1	8.43	7.52
CARS2	0	1	1	1	9.8	9.56
PXDC1	0	1	1	1	10.22	10.05
HEYL	0	2	1	1	10.85	10.72
SGCB	0	4	1	2	-0.08	-0.15
HM13	0	1	2	3	7.12	7.45
SYVN1	1	1	2	3	12.62	12.91
MAPK6	0	1	1	3	7.85	7.31
DUSP5	0	1	1	3	8.93	8.9
MAPK8	0	3	1	3	-0.08	5.37
DUSP1	0	2	1	3	11.06	11.12
ELN	0	1	1	2	11.23	11.3
PAQR7	0	1	2	1	11.37	11.35
FADS1	1	1	2	3	11.91	12.27
FADS3	1	1	2	3	11.69	11.97
FADS2	1	1	2	3	11.91	12.27
METTL8	0	2	1	3	2.76	5.15
SIL1	0	1	1	2	10.2	10.02
VPS36	0	2	1	3	3.84	4.26
WWTR1	0	2	1	1	7.96	7.77
METTL5	0	2	1	1	-0.08	-0.15
MEIS3P1	0	3	1	1	9.2	8.78
CPED1	0	2	1	1	-0.08	6
KCTD1	0	3	1	1	-0.08	-0.15
KCTD7	0	1	1	1	10.15	9.94
FAM83H	1	1	2	3	12.23	12.59
AMZ2P1	0	1	1	1	10.19	9.98
ADAM19	0	2	1	1	9.16	9.16
FAM83G	1	1	1	3	11.25	11.47
EXOC6B	0	2	1	1	8.48	9.07
CPNE3	0	2	1	1	-0.08	1.1
PLOD3	1	1	2	3	11.93	12.31
DGKQ	1	1	1	1	12.29	12.61
NRAS	0	2	1	2	4.2	6.11
DNASE2	1	1	2	1	12.21	12.57
RFTN1	0	2	1	1	-0.08	-0.15
DGKI	0	2	1	3	-0.08	5.48
DGKA	1	1	2	1	11.38	11.48
PGPEP1	1	1	2	3	12.14	12.53
SNRPN	0	3	2	1	-0.08	-0.15
EXOC2	0	2	1	2	9.39	9.11
NDEL1	0	1	2	1	10.53	10.58
CLTCL1	0	1	2	1	10.45	10.28
SHANK2	0	3	1	2	10.72	10.93
SBNO2	1	1	2	3	13.12	13.45
PLEKHM3	0	2	1	1	-0.08	-0.15
ATF3	0	2	1	3	7.89	7.8
PDPK1	1	1	2	1	12.13	12.43
SYNPO	0	2	1	2	11.18	11.05
P4HA2	0	2	1	1	10.29	10.29
VPS8	1	2	2	3	10.47	11.03
FDXR	1	1	2	1	10.49	11.44
HSBP1L1	0	1	1	1	9.44	9.19
AMZ1	1	1	1	2	11.81	12.25
AMZ2	0	2	1	1	9.4	9.45
ARHGEF17	1	1	1	1	11.94	12.22
SERP1	0	2	1	1	6.38	6.35
COL15A1	0	1	1	1	9.27	9
EDIL3	0	2	1	2	-0.08	-0.15
PTEN	0	2	1	3	8.73	8.24
ANGPTL4	0	1	2	2	11.18	11.28
PLTP	1	1	2	1	11.19	11.32
ENC1	0	2	1	2	6.96	7.09
RHBDD1	0	2	1	3	6.39	8.26
EIF5A2	0	2	1	2	7.52	7.83
KLC4	1	1	2	1	12.11	12.3
PLXNA1	1	3	1	1	11.12	11.55
MMP14	1	1	2	3	11.55	11.92
ZNF195	0	3	1	3	9.22	9.71
CDKN1A	1	1	1	3	11.32	11.98
NAA60	0	1	2	1	11.5	11.58
UBE2D3	0	2	1	3	-0.08	-0.15
UBE2D1	0	2	1	1	-0.08	-0.15
BAZ2B	0	2	1	1	-0.08	-0.15
PPP1R15A	1	1	2	3	12.32	12.6
CHCHD7	0	3	1	2	-0.08	-0.15
NFIL3	0	2	1	1	8.06	7.14
GDF15	1	1	2	3	12.14	12.53
DYNC2LI1	0	2	1	1	7.8	7.54
TSPYL1	0	2	1	3	-0.08	-0.15
ZNF229	0	3	2	2	10.79	10.77
ZC2HC1A	0	4	1	1	-0.08	-0.15
VEGFA	0	1	2	2	11.36	11.3
PLXNB1	1	1	2	3	12.25	12.85
BNIP3	0	2	1	1	7.48	7.6
ASTN2	0	2	1	1	-0.08	-0.15
MTHFD1L	0	2	1	3	-0.08	-0.15
ZNF425	0	2	1	3	9.27	9.07
FBXO32	0	1	1	1	9.32	9.25
ATXN3	0	2	1	1	7.21	4.29
NAB2	1	1	2	3	12.57	12.89
MYH16	0	1	2	1	10.93	10.98
RECK	0	1	2	2	11.04	11.09
SRGAP1	0	2	1	1	4.4	5.93
AKAP12	0	2	1	1	-0.08	-0.15
COX7A2	0	1	1	3	9.23	8.71
NEDD9	0	2	1	1	8.04	7.56
BSDC1	0	1	2	2	10.91	10.79
S100A4	1	1	2	3	10.64	11.06
S100A6	1	1	2	3	10.64	11.06
KIAA0513	0	1	1	3	11.02	11.05
MANF	0	2	2	1	8.28	8.9
TNKS1BP1	0	3	2	1	10.16	10.62
RIOK3	0	1	1	2	9.29	8.99
TMEM63B	1	1	2	3	11.67	11.77
MICALL1	1	1	2	3	12.06	12.31
ARL8B	0	2	1	3	-0.08	3.91
ARL8A	0	1	2	3	10.97	10.93
EGFR	0	2	1	1	9.1	8.22
AP1S1	1	1	2	3	12.32	12.66
TTC7A	0	1	1	3	10.08	9.67
AP1S3	0	2	1	1	-0.08	-0.15
ACER2	0	3	1	1	-0.08	-0.15
KAZN	0	2	1	2	9.79	9.72
VPS28	1	1	2	3	13.06	13.44
PEAR1	1	1	2	1	11.37	11.64
ESYT2	0	2	1	1	8.72	6.82
PELO	0	2	1	1	-0.08	5.7
JAG1	0	3	1	2	6.5	6.6
NUMBL	1	1	2	1	11.82	12.06
NDUFC1	0	1	1	2	8.25	7.42
APPBP2	0	1	1	3	9.85	9.92
PLEKHO2	0	1	1	1	10.83	10.77
TRIM2	0	2	1	1	-0.08	-0.15
ARSA	1	1	2	2	11.91	12.27
HEXA	0	1	1	2	9.43	9.39
MAPKBP1	1	1	1	1	11.83	12.13
CEPT1	0	4	1	1	-0.08	-0.15
ARSI	0	1	1	3	11.49	11.36
ANK1	0	1	1	2	9.85	9.81
PPP1R13L	1	1	2	2	12.3	12.68
PDGFRB	0	1	1	3	11.8	11.74
PTK2B	0	3	1	1	3.37	-0.15
FBLN2	0	2	1	1	-0.08	6.72
PYCR1	1	1	2	1	12.97	13.34
USP20	0	1	1	1	11.38	11.43
TMEM184C	0	2	1	1	-0.08	-0.15
ADAMTS1	0	2	1	1	6.65	5.56
HYOU1	1	1	2	1	11.65	11.94
DYNLT1	0	2	1	1	8.87	8.8
ARHGEF3	0	2	1	2	8.23	7.37
CBFB	1	1	2	3	11.31	11.21
RPL23AP53	0	3	1	2	-0.08	-0.15
MKLN1	0	2	1	3	8.69	9.22
PLXND1	0	1	1	1	11.38	11.51
CDH6	0	2	1	1	-0.08	-0.15
RAB5A	0	2	1	1	-0.08	-0.15
RAB5B	1	1	2	1	11.75	12.05
RAMP1	0	2	1	1	10.27	10.42
RPL23AP7	0	1	1	3	6.92	7.57
REV3L	0	1	1	3	8.38	8.26
SEC24C	1	1	2	2	11.17	11.25
SSH1	0	2	1	3	8.89	8.43
RNF19B	0	2	2	2	10.74	10.46
KIFC3	1	1	1	1	11.34	11.63
SCARB2	0	2	1	1	3.49	6.4
EID1	0	2	1	2	9.51	8.63
TRIP6	1	1	2	1	11.98	12.44
MRPL49	1	1	2	3	12.62	12.91
ERAP2	0	2	1	1	7.41	7.46
ERAP1	0	2	1	1	7.41	7.46
LITAF	0	1	1	3	10.77	10.63
RRAD	1	1	2	3	11.8	12.16
TRIB1	0	2	1	2	1.29	4.57
TRIB3	0	1	1	1	10.31	10.28
LAMB2	1	1	2	1	12.19	12.61
ARHGEF10L	0	2	1	2	10.64	10.74
NEK6	0	1	1	1	10.11	9.93
MT1X	0	1	2	1	11.16	11.27
ZNF160	0	3	2	1	10.41	10.33
CSRNP1	0	2	1	1	7.88	7.84
MT1L	0	1	2	1	11.16	11.27
CDC42BPG	1	1	2	2	12.56	12.95
CDC42BPB	0	1	1	2	11.32	11.41
MT1E	0	1	2	1	11.16	11.27
NUPR1	0	1	2	2	11.43	11.46
TIMMDC1	0	2	1	1	-0.08	4.29
CCDC3	0	3	1	1	5.82	5.26
BLVRA	0	2	1	2	9.39	9.02
ZNF28	0	3	2	1	10.57	10.39
MTHFD2	0	1	2	1	10.35	10.47
SH3TC2	0	2	1	2	8.33	7.16
SH3TC1	0	1	1	1	9.76	9.3
LYNX1	0	3	2	2	8.81	9.07
BBS12	0	2	1	3	7.24	7.92
NSD1	0	1	2	1	11.24	11.18
TMEM131	0	3	1	2	7.69	7.99
TMEM135	0	2	1	1	-0.08	-0.15
TBC1D10A	1	1	2	2	11.93	12.14
SPRY4	0	1	1	1	10.47	10.44
MPLKIP	0	2	1	1	7.83	7.19
TTPAL	0	1	2	1	9.41	9.32
FBXO22	0	1	1	1	9.83	9.61
FBXO25	0	3	1	3	-0.08	-0.15
VGLL3	0	2	1	1	-0.08	-0.15
NUAK2	0	2	1	3	10.02	10.26
VGLL4	0	2	1	1	7.71	7.87
RALGDS	1	1	2	3	11.59	12.06
FRMD6-AS1	0	1	1	2	9.9	9.72
NUDT18	1	1	2	2	11.05	11.35
CNNM2	0	1	2	3	10.19	10.02
LOC100507156	0	1	1	3	11.15	11.13
RTCA	0	2	1	1	6.7	5.83
STX6	0	2	1	3	-0.08	-0.15
TRAM1	0	2	1	2	-0.08	-0.15
TRAM2	0	1	1	2	8.29	8
SRXN1	0	3	1	1	8.37	8.15
SLC4A11	1	1	2	3	11.05	11.35
MEGF8	1	1	2	2	12.39	12.74
SLC5A3	0	1	1	1	9.88	9.42
LOC100506178	0	2	1	2	4.61	7.34
UBN2	0	2	1	2	5.98	7.05
IMPACT	0	1	1	1	7.16	7.42
ARNTL	0	2	1	2	8.85	9.11
PCMTD1	0	3	1	1	-0.08	2.75
CDC42EP3	0	1	1	3	10.06	9.63
CDC42EP2	1	1	2	3	12.66	12.89
CARD10	1	1	2	2	12.02	12.26
MGAT5	0	2	1	1	-0.08	3.27
GLRX	0	1	1	2	8.87	7.79
CALD1	0	2	1	1	8.95	8.33
VAMP1	0	1	2	3	11.97	12.03
VAMP5	0	1	1	2	11.43	11.3
CHST14	1	1	2	3	11.51	11.77
FEZ1	0	2	1	2	2.31	5.87
CSTF3	0	2	1	2	8.42	8.66
TGFBI	0	2	1	3	10.4	9.96
ABCC3	1	1	2	1	11.76	12.06
POU2F2	1	1	2	3	12.02	12.32
GNPTAB	0	2	1	2	-0.08	1.58
FCHO2	0	1	1	1	9.09	8.17
PODXL	0	2	1	1	8.55	6.64
CAV2	0	2	1	1	9.55	9.1
TMEM2	0	2	1	1	-0.08	-0.15
GPR37	0	5	1	1	-0.08	5.88
IRF2BP2	0	2	1	3	9.48	8.9
CLN8	0	3	1	1	5.3	-0.15
ANKRD46	0	2	1	1	5.49	7.22
AQP3	0	1	1	3	10.61	10.62
IRF9	1	1	2	1	11.44	11.77
JAK1	0	2	1	1	5.79	5.11
IRF2BPL	0	1	1	3	9.59	9.59
USP38	0	2	1	1	-0.08	-0.15
RFNG	1	1	2	2	13.11	13.5
USP34	0	1	1	1	9.16	7.84
SHMT2	1	1	2	3	12.99	13.42
ADCY7	0	2	1	1	9.83	9.78
PLD1	0	2	1	2	7.56	7.05
PLD2	1	1	2	2	11.81	12.15
RNF185	1	1	2	3	11.4	11.53
LIMA1	0	1	2	2	11.13	10.94
PPFIBP1	0	1	1	1	9.89	9.37
RUNX1	0	1	1	3	10.25	10.09
BMPR2	0	1	1	1	9.05	7.97
RNF215	1	1	2	2	11.74	12
STX3	0	3	1	1	1.56	6.42
MED20	0	1	1	2	10.03	10.29
HRAS	1	1	2	1	12.5	12.89
DOCK6	1	1	2	1	12	12.26
DOCK7	0	2	1	1	-0.08	-0.15
TNFRSF12A	1	1	2	2	12.57	12.94
SMURF1	0	1	2	1	10.59	10.61
SMURF2	0	1	1	1	11.21	11.08
TNRC18	1	1	1	3	12	12.27
JUN	0	2	1	3	8.88	8.58
TRIAP1	0	1	2	3	11.05	11.08
YARS	0	1	2	3	10.67	10.5
SYT16	0	3	1	1	-0.08	-0.15
FIBCD1	1	1	1	1	11.26	11.46
FAM98C	1	1	2	2	11.61	11.97
EPHB3	1	2	2	2	10.78	11.33
PLCB4	0	2	1	1	6.45	6.2
ESPNL	0	2	1	2	10.47	10.6
TP53INP1	0	2	1	1	-0.08	4.44
DSP	0	2	1	1	-0.08	-0.15
LAMC2	0	2	1	3	9.74	9.03
LAMC1	0	2	1	2	9.19	9.17
LOC286059	0	1	1	3	10.93	10.94
RPSAP52	0	2	1	3	9.39	9.02
RHBDF2	1	1	2	1	11.91	12.3
ATP6V1G1	0	1	1	1	9.61	9.51
PPP2R5A	0	2	1	1	7.41	7.07
PPP2R5B	1	1	2	3	12.47	12.75
GPR176	0	1	2	1	11.02	10.81
MSMO1	0	2	1	1	-0.08	-0.15
TBX3	0	2	1	3	8.52	8.12
MOB3A	1	1	2	3	12.87	13.25
KCNA7	1	1	2	3	12.25	12.58
ZNF783	0	2	1	3	9.32	9.31
OPTN	0	1	1	1	7.74	8.75
JMJD4	0	2	1	2	8.66	9.06
FHL2	0	2	1	3	3.84	3.74
RPS26	1	1	2	1	11.75	12.05
ITPRIPL2	0	3	1	1	10.07	10.36
PHC2	0	2	1	1	10.03	10.21
UCHL1	0	3	1	2	-0.08	-0.15
ATL1	0	1	1	1	9.28	9.03
RUSC2	0	3	2	3	11.42	11.41
RUSC1	1	1	2	1	12.02	12.29
SLC35D2	0	2	1	1	8.85	6.99
PPIB	0	1	1	1	10.36	10.13
HMGXB3	0	2	1	2	11.06	10.91
NECAP2	1	1	2	3	11.08	11.47
SGIP1	0	2	1	3	6.99	7.46
YES1	0	3	1	1	-0.08	-0.15
SMOX	0	1	1	1	11.08	11.07
FAS	0	2	1	1	7.69	7.85
VPS33A	0	1	1	1	10.93	10.83
ZCCHC6	0	2	1	2	-0.08	-0.15
OSR1	0	5	1	1	-0.08	6.31
MRGPRF	1	1	1	1	11.68	12.02
CHADL	1	1	2	3	11.6	11.76
AP4E1	0	1	1	1	9.01	8.26
GTPBP2	0	1	2	3	11.65	11.68
TMBIM4	0	2	1	2	-0.08	6.88
TMBIM1	0	1	2	2	11.35	11.44
ARID3A	1	1	2	2	12.77	13.1
EPM2AIP1	0	2	1	3	-0.08	7.45
PICALM	0	2	1	1	8.85	8.48
HECTD3	1	2	1	1	10.74	11.14
PLK3	1	1	1	3	11.93	12.45
PLK2	0	2	1	2	-0.08	-0.15
S100A11	0	3	2	3	9.44	9.61
S100A10	0	2	2	3	9.44	9.61
MRC2	0	1	1	2	10.92	10.95
ANAPC16	0	1	1	3	10.46	10.31
CYBRD1	0	2	1	2	6.5	7.34
SIAE	0	2	2	1	8.07	8.28
CAPN2	0	2	1	2	10.37	10.48
CAPN1	1	1	2	3	12.38	12.71
PAG1	0	2	1	1	-0.08	-0.15
SEPT11	0	1	1	3	7.32	8.62
RCAN3	0	1	1	3	10.7	10.9
RAP1B	0	2	1	3	8.04	7.53
HTR7	0	2	1	1	-0.08	-0.15
KLHL5	0	1	1	1	8.25	7.72
RAP1A	0	2	1	1	8.03	7.53
SLC4A5	0	1	2	1	10.81	10.95
STC2	0	2	1	1	9.94	9.38
PXDN	0	2	1	3	8.32	6.44
PKIG	0	1	2	2	10.21	9.97
MAMDC4	1	1	2	1	12.64	13.12
MAMDC2	0	3	1	2	6.88	8.22
ROBO4	0	2	2	1	9.17	7.8
FAXDC2	0	2	1	2	9.49	7.91
SPRYD7	0	2	1	2	6.9	7.22
KBTBD7	0	1	1	1	-0.08	6.46
LOC730101	0	3	1	2	8.29	8
ZBTB38	0	2	1	3	9.65	8.92
PCBP4	1	1	2	2	11.21	11.48
GRAMD4	0	1	1	1	10.55	10.39
TMEM9B	0	1	1	3	9.93	9.99
LZTS2	1	1	1	1	11.38	11.84
PROCR	0	1	1	2	11.08	10.82
KLHL36	0	1	1	1	11.24	11.16
NBR1	0	1	2	2	11.29	11.24
PVT1	0	2	1	3	7.68	7.66
SPATA18	0	4	1	2	-0.08	-0.15
PLEC	1	1	2	3	13.36	13.84
KIF3A	0	2	1	1	10.11	9.64
POMGNT1	0	2	2	2	10.96	10.84
RBM24	0	2	1	1	8.82	8.36
TRHDE-AS1	0	2	1	1	-0.08	6.93
CLDN14	0	1	1	1	9.83	9.5
EPHA4	0	2	1	1	-0.08	4.49
EPHA2	1	1	2	3	11.92	12.39
ME1	0	2	1	1	-0.08	-0.15
TBK1	0	1	1	2	8.98	8.19
TBC1D2	0	1	1	2	10.4	10.48
HLA-C	0	1	2	3	11.32	11.44
AGTRAP	1	2	1	1	11.07	11.42
CITED4	0	1	1	3	10.76	10.75
CHST11	0	2	1	1	9.05	8.78
MTHFR	1	2	1	1	11.43	11.67
FMN1	0	2	1	3	8.05	8.13
SYNE1	0	5	1	1	-0.08	-0.15
VAMP4	0	2	1	3	3.62	6.34
SEMA3C	0	2	1	3	7.19	7.09
PAIP2	0	1	1	2	10.46	10.36
TBC1D22B	0	1	1	3	10.62	10.35
STEAP3	0	3	1	2	-0.08	-0.15
DESI2	0	2	1	1	6.24	6.17
RPS19	1	3	2	2	11.95	12.43
LATS2	0	1	1	3	7.91	7.94
UBASH3B	0	1	1	2	8.89	8.67
GRHL3	0	1	1	3	10.94	10.94
OSMR	0	2	1	1	8.22	8.55
TG	0	2	1	3	2.03	-0.15
NR3C1	0	2	1	3	9.07	8.17
RRAGC	0	2	1	1	7.03	7.36
GLIPR1	0	2	1	1	6.59	6.51
RASA1	0	2	1	2	-0.08	3.21
RASA2	0	2	1	3	8.05	8.01
RASA3	1	1	1	3	11.58	11.93
PTPRU	0	2	1	1	9.07	9.41
SLC40A1	0	2	1	2	7.48	7.52
TINF2	1	1	2	2	11.69	11.89
MMP2	0	3	1	1	6.39	-0.15
PTPRF	1	1	1	1	11.95	12.25
PTPRE	0	2	1	1	-0.08	-0.15
EIF2S2	0	1	1	1	10.65	10.47
PTPRB	0	2	1	1	-0.08	-0.15
PGAP1	0	2	1	1	-0.08	5.71
IFT20	1	1	2	3	11.05	11.38
STK10	0	2	1	3	10.23	10.05
STK11	1	1	2	2	12.92	13.34
MXRA8	1	1	2	2	13.19	13.52
CPQ	0	2	1	1	7.33	6.96
PPP4R3A	0	3	1	1	-0.08	5.97
APBB2	0	2	1	1	-0.08	2.92
APBB3	0	2	2	1	9.69	9.86
ANXA2P2	0	1	1	2	9.68	9.38
DMPK	1	1	2	1	12.42	12.74
WDR6	1	1	2	1	12.38	12.69
NDUFB2	0	2	1	3	-0.08	-0.15
ABLIM3	0	2	1	2	8.33	7.16
GATA6	0	1	1	1	7.59	7.27
SNAP23	0	1	1	1	10.72	10.6
CCND1	1	1	1	3	11.93	12.3
CCND2	0	3	1	3	-0.08	5.2
PIDD1	1	1	2	2	12.85	13.34
LACTB	0	1	1	2	11.16	10.99
ATP6V1D	0	1	1	1	4.09	7.12
RPS27L	0	1	1	2	10.17	10.14
ATP6V1H	0	3	1	2	7.56	5.82
SFXN3	1	1	1	2	11.38	11.84
CRIPT	0	2	1	3	9.33	9.08
SERPINE1	1	1	2	3	12.32	12.66
SERPINE2	0	2	1	2	4.67	7.84
PANK1	0	2	1	1	-0.08	5.37
CD27-AS1	0	1	2	3	11.97	12.03
SOX12	0	1	1	1	10.21	10.19
KCNMA1	0	1	1	3	9.58	9.1
NAALADL2	0	2	1	1	-0.08	-0.15
AXL	1	1	2	3	11.85	12.02
SNX30	0	1	1	2	9.14	9
SNX33	1	1	2	1	11.51	11.96
PDLIM4	0	2	1	1	10.29	10.29
IRGQ	1	1	2	2	11.55	11.9
PDLIM1	0	2	1	2	-0.08	3.65
HEATR5A	0	2	1	1	4.11	7.51
HEATR5B	0	1	1	1	-0.08	6.01
MARS	1	1	2	2	12.24	12.49
INSIG2	0	4	1	1	-0.08	-0.15
RPL23AP82	1	1	2	1	11.34	11.76
PSAP	0	1	1	1	10.35	10.27
ZC3H6	0	1	1	1	8.39	7.82
GPX1	1	1	2	2	11.74	11.99
PRDM1	0	2	1	3	6.61	7.64
FLNB	0	1	1	1	10.59	10.5
ANKRA2	0	1	1	1	8.96	7.96
EIF4A2	0	2	1	1	6.97	7.01
KLHL20	0	2	1	2	6.37	5.78
TMEM80	1	1	2	2	12.5	12.89
CROT	0	2	1	3	-0.08	6.24
TNFRSF10C	0	1	1	3	10.64	10.77
TNFRSF10B	0	1	1	3	10.93	10.94
TNFRSF10A	0	1	1	3	10.13	10.19
HGSNAT	0	3	1	3	-0.08	6.29
TNFRSF10D	0	1	1	3	10.64	10.77
TRIM55	0	3	1	3	7.05	8.58
RNASET2	0	2	1	1	-0.08	-0.15
POLH	0	1	2	3	11.65	11.68
NDUFV3	0	1	1	1	10.59	10.27
HIC2	0	2	2	2	9.36	9.56
CROCCP3	1	1	2	3	11.08	11.47
RBM12	0	1	1	1	11.26	11.02
TM9SF2	0	2	1	1	4.33	-0.15
RBM18	0	2	2	1	9.68	9.91
LAMA1	0	3	1	1	-0.08	-0.15
NAT9	1	3	2	1	10.55	11.12
ARVCF	1	1	2	1	11.93	12.36
FAM96B	1	1	2	3	11.8	12.16
MXRA7	1	1	2	3	11.7	11.87
GRAMD1B	0	2	1	1	6.97	7.98
CTNNB1	0	2	1	1	-0.08	-0.15
CMBL	0	1	1	2	6.49	5.28
TRIOBP	1	1	2	3	12.36	12.65
NR4A1	1	1	2	1	11.22	11.56
ABCA1	0	2	1	3	8.26	6.76
MT2A	0	1	2	1	11.16	11.27
SDC4	0	3	2	3	10.01	10.08
EI24	0	2	1	2	2.31	5.87
KIAA2026	0	2	1	2	5.67	6.18
BAALC	0	2	1	3	6.74	7.41
ZNF12	0	2	1	1	8.19	7.93
TM4SF1	0	2	1	2	7.77	7.94
SELPLG	0	1	1	2	10	9.76
LMCD1	0	2	1	1	5.95	4.41
HMGCL	1	1	1	1	10.95	11.1
CNOT8	0	2	1	2	9.49	7.91
RYBP	0	3	1	1	-0.08	-0.15
AARS2	1	1	2	3	10.74	11.21
SIPA1L2	0	2	1	1	-0.08	-0.15
HSD17B4	0	2	1	2	-0.08	-0.15
ITGB1	0	1	1	2	9.65	9.64
ITGB5	0	1	1	1	10.4	10.15
LTBP1	0	3	1	2	-0.08	-0.15
RTN4	0	1	1	1	9.54	9.09
ARPC2	0	1	2	2	10.98	11.05
MCFD2	0	1	1	3	10.08	9.67
SLC35F5	0	3	1	3	5.38	6.52
IER5	0	2	1	3	7.95	8.49
MYO6	0	2	1	2	-0.08	4.41
DKK1	0	3	1	1	-0.08	-0.15
ZNF468	0	3	2	1	10.55	10.29
ZNF469	1	1	2	3	11.94	12.24
CMTM3	0	1	2	1	10.54	10.71
CMTM6	0	2	1	1	7.41	7.25
FAM126A	0	2	1	2	7.99	7.13
FAM126B	0	1	1	1	8.78	7.67
MLPH	0	2	1	1	11.19	11.26
TSPAN10	1	1	2	1	12.71	12.98
TSPAN11	0	4	1	1	4.65	5.76
ZFPM1	1	1	2	3	11.94	12.24
TSPAN14	0	2	1	2	-0.08	-0.15
MAB21L1	0	4	1	1	-0.08	-0.15
HPS1	0	2	1	1	7.01	7.25
SLC25A16	0	1	1	2	9.75	9.04
RASAL2	0	2	1	2	7.17	6.52
SLC12A4	1	1	2	3	12.32	12.75
P3H2	0	2	1	1	5.13	7.19
METTL7A	0	1	1	1	10.23	10.09
EXT2	0	3	1	1	4.02	7.15
EXT1	0	2	1	1	-0.08	-0.15
XYLT1	0	3	1	1	9.4	9.56
HTATIP2	0	5	1	2	-0.08	-0.15
STK17A	0	1	1	2	9.44	9.15
IAH1	0	1	1	2	9	8.99
NOS1AP	0	3	2	1	7.91	8.67
YIPF5	0	2	1	1	-0.08	-0.15
DDAH1	0	2	1	2	10.38	10.13
TCTA	1	1	2	1	11.79	12.09
PDXK	1	1	2	1	10.85	11.06
SNX7	0	5	1	3	-0.08	-0.15
SNX6	0	1	1	2	10	9.47
CRELD2	1	1	2	1	11.27	11.5
SNX9	0	2	1	1	9.59	9.05
SNX8	1	1	1	3	11.63	11.85
ARL4C	0	2	1	3	10.14	9.77
CHMP2A	1	1	1	3	0.0	0.0
ITPKC	1	1	2	1	11.82	12.06
GCC2	0	2	1	2	-0.08	4.57
CLDN1	0	2	1	1	-0.08	-0.15
ORAI3	1	1	2	2	12.2	12.48
GALNT5	0	5	1	1	-0.08	-0.15
BCAR1	0	1	1	3	11.16	11
GALNT2	0	2	1	2	-0.08	-0.15
COMTD1	0	1	1	1	9.79	9.7
SNX29	0	1	1	3	10.18	10
HDAC5	1	1	2	3	12.07	12.46
HDAC9	0	2	1	1	2.03	0.79
ZFHX3	0	2	1	2	9.14	8.43
ZFHX2	0	3	2	2	10.17	10.41
TRIP11	0	2	1	1	6.49	7.28
MXD1	0	1	1	1	9.28	9.32
NLRP1	0	3	2	1	10.06	10.05
TMEM150A	0	1	1	2	11.43	11.3
RAB10	0	1	1	1	9.88	9.72
LYST	0	2	1	2	3.49	6.7
RAB14	0	2	1	3	9.78	9.92
TNFSF4	0	2	1	2	9.1	8.44
KLHL12	0	1	1	2	10.35	10.34
LYSMD4	0	2	1	1	-0.08	-0.15
RAB1A	0	1	1	2	8.02	7.1
DAB2IP	0	1	1	3	9.83	9.55
MIR100HG	0	2	1	1	8.7	8.96
